DEBUG 2024-04-21 03:11:41,206 autoreload File /home/joshpuglielli/.vscode/extensions/ms-python.debugpy-2024.4.0-linux-x64/bundled/libs/debugpy/_vendored/pydevd/pydev_ipython/matplotlibtools.py first seen with mtime 1712270660.962488
DEBUG 2024-04-21 03:11:41,206 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/lib-dynload/zlib.cpython-39-x86_64-linux-gnu.so first seen with mtime 1661470652.0
DEBUG 2024-04-21 03:11:41,206 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/docutils/writers/__init__.py first seen with mtime 1657175491.0
DEBUG 2024-04-21 03:11:41,206 autoreload File /home/joshpuglielli/.vscode/extensions/ms-python.debugpy-2024.4.0-linux-x64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_trace_api.py first seen with mtime 1712270660.878488
DEBUG 2024-04-21 03:11:41,206 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/django/template/backends/__init__.py first seen with mtime 1677616943.7914453
DEBUG 2024-04-21 03:11:41,206 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/docutils/readers/doctree.py first seen with mtime 1657175491.0
DEBUG 2024-04-21 03:11:41,206 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/django/core/checks/messages.py first seen with mtime 1677616943.7634454
DEBUG 2024-04-21 03:11:41,206 autoreload File /home/joshpuglielli/.vscode/extensions/ms-python.debugpy-2024.4.0-linux-x64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_frame.py first seen with mtime 1712270660.7984884
DEBUG 2024-04-21 03:11:41,206 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/django/db/models/sql/query.py first seen with mtime 1677616943.7794454
DEBUG 2024-04-21 03:11:41,207 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/django/db/backends/base/operations.py first seen with mtime 1677616943.7714455
DEBUG 2024-04-21 03:11:41,207 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/lib-dynload/grp.cpython-39-x86_64-linux-gnu.so first seen with mtime 1661470652.0
DEBUG 2024-04-21 03:11:41,207 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/urllib3/util/__init__.py first seen with mtime 1659110612.0
DEBUG 2024-04-21 03:11:41,207 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/django/contrib/sessions/__init__.py first seen with mtime 1677616943.7274456
DEBUG 2024-04-21 03:11:41,207 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/_sitebuiltins.py first seen with mtime 1661470637.0
DEBUG 2024-04-21 03:11:41,207 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/wsgiref/handlers.py first seen with mtime 1661470638.0
DEBUG 2024-04-21 03:11:41,207 autoreload File /home/joshpuglielli/Desktop/capstone/csc490-interactive-art/server/arduino/models.py first seen with mtime 1713199540.8870778
DEBUG 2024-04-21 03:11:41,207 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/jinja2/bccache.py first seen with mtime 1709314331.4579246
DEBUG 2024-04-21 03:11:41,207 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/django/core/exceptions.py first seen with mtime 1677616943.7594454
DEBUG 2024-04-21 03:11:41,207 autoreload File /home/joshpuglielli/anaconda3/lib/python3.9/site-packages/chardet/langturkishmodel.py first seen with mtime 1706724839.3771873
DEBUG 2024-04-21 03:11:41,207 autoreload File /home/joshpuglielli/.vscode/extensions/ms-python.debugpy-2024.4.0-linux-x64/bundled/libs/debugpy/_vendored/pydevd/pydevd_plugins/extensions/types/__init__.py first seen with mtime 1712270661.1424873
